district_code,district_name,pop_estimate_2015,year
H04, Fung Wong,"16,200 ",2015
H05, Fung Tak,"16,240 ",2015
H06, Lung Sing,"20,111 ",2015
H07, San Po Kong,"21,677 ",2015
H08, Tung Tau,"19,630 ",2015
H09, Tung Mei,"17,580 ",2015
H10, Lok Fu,"14,977 ",2015
H11, Wang Tau Hom,"17,303 ",2015
H12, Tin Keung,"14,528 ",2015
H13, Tsui Chuk & Pang Ching,"18,266 ",2015
H14, Chuk Yuen South,"15,103 ",2015
H15, Chuk Yuen North,"16,098 ",2015
H16, Tsz Wan West,"19,020 ",2015
H17, Ching Oi,"20,150 ",2015
H18, Ching On,"20,235 ",2015
H19, Tsz Wan East,"20,122 ",2015
H20, King Fu,"19,385 ",2015
H21, Choi Wan East,"13,945 ",2015
H22, Choi Wan South,"12,773 ",2015
H23, Choi Wan West,"13,487 ",2015
H24, Chi Choi,"16,110 ",2015
H25, Choi Hung,"14,702 ",2015
J01, Kwun Tong Central,"16,076 ",2015
J02, Kowloon Bay,"13,952 ",2015
J03, Kai Yip,"16,399 ",2015
J04, Lai Ching,"15,770 ",2015
J05, Ping Shek,"13,362 ",2015
J06, Sheung Choi,"19,162 ",2015
J07, Jordan Valley,"19,358 ",2015
J08, Shun Tin,"18,918 ",2015
J09, Sheung Shun,"17,661 ",2015
J10, On Lee,"13,453 ",2015
J11, Po Tat,"19,866 ",2015
J12, Sau Mau Ping North,"20,579 ",2015
J13, Hiu Lai,"18,457 ",2015
J14, Sau Mau Ping South,"13,909 ",2015
J15, Sau Mau Ping Central,"15,256 ",2015
J16, Hing Tin,"17,218 ",2015
J17, Lam Tin,"20,947 ",2015
J18, Kwong Tak,"19,310 ",2015
J19, Ping Tin,"18,151 ",2015
J20, Pak Nga,"13,410 ",2015
J21, Yau Tong East,"19,652 ",2015
J22, Yau Lai,"18,285 ",2015
J23, Chui Cheung,"20,726 ",2015
J24, Yau Tong West,"20,481 ",2015
J25, Laguna City,"24,598 ",2015
J26, King Tin,"20,623 ",2015
J27, Tsui Ping,"19,113 ",2015
J28, Po Lok,"14,443 ",2015
J29, Yuet Wah,"13,845 ",2015
J30, Hip Hong,"16,713 ",2015
J31, Hong Lok,"16,707 ",2015
J32, Ting On,"16,465 ",2015
J33, Upper Ngau Tau Kok Estate,"15,969 ",2015
J34, Lower Ngau Tau Kok Estate,"17,736 ",2015
J35, To Tai,"17,013 ",2015
J36, Lok Wah North,"13,325 ",2015
J37, Lok Wah South,"13,093 ",2015
K01, Tak Wah,"21,075",2015
K02, Yeung Uk Road,"19,935",2015
K03, Hoi Bun,"19,641",2015
K04, Clague Garden,"14,549",2015
K05, Fuk Loi,"13,898",2015
K06, Discovery Park,"17,420",2015
K07, Tsuen Wan Centre,"16,595",2015
K08, Allway,"19,833",2015
K09, Lai To,"19,431",2015
K10, Ting Sham,"18,540",2015
K11, Tsuen Wan West,"18,672",2015
K12, Tsuen Wan Rural,"18,896",2015
K13, Ma Wan,"15,126",2015
K14, Luk Yeung,"15,335",2015
K15, Lei Muk Shue East,"19,502",2015
K16, Lei Muk Shue West,"15,745",2015
K17, Shek Wai Kok,"12,723",2015
K18, Cheung Shek,"12,962",2015
L01, Tuen Mun Town Centre,"19,539 ",2015
L02, Siu Chi,"21,052 ",2015
L03, Siu Tsui,"19,796 ",2015
L04, On Ting,"16,704 ",2015
L05, Yau Oi South,"15,172 ",2015
