,district_code,district_name,pop_estimate_2011,year
154,H15,Chuk Yuen    North,15    836,2011
155,H16,Tsz Wan West,19    266,2011
156,H17,Ching Oi,20    535,2011
157,H18,Ching On,20    203,2011
158,H19,Tsz Wan East,20    124,2011
159,H20,King Fu,19    809,2011
160,H21,Choi Wan East,14    932,2011
161,H22,Choi Wan South,12    807,2011
162,H23,Choi Wan West,11    835,2011
163,H24,Chi Choi,15    882,2011
164,H25,Choi Hung,15 107,2011
165,J01,Kwun Tong    Central,17 080,2011
166,J02,Kowloon Bay,13    380,2011
167,J03,Kai Yip,15    646,2011
168,J04,Lai Ching,16    578,2011
169,J05,Ping Shek,13    160,2011
170,J06,Sheung Choi,20    120,2011
171,J07,Jordan Valley,20    715,2011
172,J08,Shun Tin,18    715,2011
173,J09,Sheung Shun,17    769,2011
174,J10,On Lee,13    399,2011
175,J11,Po Tat,24    761,2011
176,J12,Sau Mau Ping    North,21    091,2011
177,J13,Hiu Lai,20    333,2011
178,J14,Sau Mau Ping    South,19    537,2011
179,J15,Hing Tin,17    051,2011
180,J16,Lam Tin,20    752,2011
181,J17,Kwong Tak,19    830,2011
182,J18,Ping Tin,15    777,2011
183,J19,Pak Nga,14    509,2011
184,J20,Yau Tong East,21    183,2011
185,J21,Yau Lai,17    559,2011
186,J22,Chui Cheung,18    773,2011
187,J23,Yau Tong West,20    567,2011
188,J24,Laguna City,23 457,2011
189,J25,King Tin,21 353,2011
190,J26,Tsui Ping,19 656,2011
191,J27,Po Lok,15 328,2011
192,J28,Yuet Wah,13 557,2011
193,J29,Hip Hong,16 510,2011
194,J30,Hong Lok,16 568,2011
195,J31,Ting On,16 210,2011
196,J32,Ngau Tau Kok,15 598,2011
197,J33,To Tai ,17 758,2011
198,J34,Lok Wah North,13 843,2011
199,J35,Lok Wah South,14 319,2011
200,K01,Tak Wah,20 527,2011
201,K02,Yeung Uk Road,19 327,2011
202,K03,Hoi Bun,18 826,2011
203,K04,Clague Garden,14 217,2011
204,K05,Fuk Loi,13 461,2011
205,K06,Discovery Park,16 644,2011
206,K07,Tsuen Wan    Centre,14 168,2011
207,K08,Allway,18 273,2011
208,K09,Lai To,20 502,2011
209,K10,Lai Hing,20 550,2011
210,K11,Tsuen Wan    Rural West,20 873,2011
211,K12,Tsuen Wan    Rural East,20 798,2011
212,K13,Luk Yeung,14 409,2011
213,K14,Lei Muk Shue    East,21 602,2011
